mission_id,mission_type,latitude,longitude,urgency_level,urgency_score,threat_level,civilian_density,required_sensor,estimated_duration,created_time
M018,Reconnaissance,40.8188,34.9951,High,7.48,4.59,8.16,Multi-Spectral,155,2025-12-17 13:18:21.603362
M019,Surveillance,37.9558,30.7441,Low,3.21,8.29,3.49,Night Vision,56,2025-12-17 18:18:21.603516
M020,Search and Rescue,40.0541,39.4987,Low,2.71,5.87,6.96,Night Vision,128,2025-12-17 03:18:21.603674
M021,Border Patrol,37.565,43.9363,Medium,5.47,6.02,8.83,Night Vision,80,2025-12-17 16:18:21.603840
M022,Reconnaissance,41.3827,42.0805,Medium,5.28,6.78,0.84,Multi-Spectral,147,2025-12-17 11:18:21.604013
M023,Disaster Assessment,38.2337,42.9823,Medium,5.47,3.56,3.05,HD Camera,133,2025-12-17 03:18:21.604169
M024,Surveillance,40.2731,31.0332,High,6.83,7.72,6.5,Night Vision,138,2025-12-17 18:18:21.604329
M025,Disaster Assessment,39.818,31.2579,Medium,5.09,9.81,4.87,Multi-Spectral,124,2025-12-17 17:18:21.604508
M026,Surveillance,39.4614,35.3728,Medium,4.7,7.5,2.81,Night Vision,145,2025-12-17 02:18:21.604683
M027,Disaster Assessment,41.7236,42.5527,Low,2.87,1.14,9.28,Thermal,112,2025-12-17 16:18:21.604861
M028,Disaster Assessment,37.7667,33.5467,Low,3.35,3.85,1.69,Thermal,89,2025-12-16 21:18:21.605046
M029,Search and Rescue,36.4225,30.5516,Low,3.17,4.23,2.54,HD Camera,161,2025-12-17 02:18:21.605342
M030,Border Patrol,40.2535,36.3979,Critical,9.8,4.78,2.56,Multi-Spectral,166,2025-12-17 12:18:21.605765
M031,Border Patrol,37.1656,28.206,Medium,4.9,1.46,8.87,Night Vision,86,2025-12-17 17:18:21.606486
M032,Reconnaissance,39.2559,31.8712,High,7.09,1.27,0.37,HD Camera,75,2025-12-17 08:18:21.606806
M033,Disaster Assessment,40.9672,31.6162,High,7.47,5.12,8.42,Multi-Spectral,109,2025-12-17 04:18:21.607170
M034,Reconnaissance,40.3565,43.5895,Medium,5.02,3.91,7.95,Night Vision,95,2025-12-16 20:18:21.607335
M035,Search and Rescue,41.7759,41.2117,Critical,10.2,4.68,1.73,Thermal,96,2025-12-16 21:18:21.607574
M036,Border Patrol,37.6796,43.2327,Medium,5.24,5.99,6.12,Night Vision,37,2025-12-17 03:18:21.607802
M037,Reconnaissance,36.0864,28.9732,Medium,4.55,1.37,8.55,Multi-Spectral,56,2025-12-17 03:18:21.608069
M038,Search and Rescue,40.8415,32.8872,Medium,4.96,6.85,0.48,HD Camera,125,2025-12-17 17:18:21.608187
M039,Disaster Assessment,39.7552,35.5533,High,7.36,6.93,1.63,Multi-Spectral,171,2025-12-17 17:18:21.608305
M040,Border Patrol,39.8184,40.6161,Low,3.18,6.16,1.29,Thermal,111,2025-12-17 14:18:21.608410
M041,Disaster Assessment,41.7671,42.391,High,6.7,1.62,1.01,HD Camera,35,2025-12-17 01:18:21.608515
M042,Reconnaissance,39.9343,33.5517,High,7.18,4.07,2.61,Night Vision,47,2025-12-16 22:18:21.608620
M043,Search and Rescue,41.2648,39.4962,Medium,5.3,3.54,1.77,Thermal,115,2025-12-17 16:18:21.608723
M044,Border Patrol,36.7661,31.2503,Medium,5.08,8.8,5.62,Multi-Spectral,94,2025-12-17 06:18:21.608826
M045,Border Patrol,38.2664,36.0836,High,7.0,4.51,2.98,Night Vision,88,2025-12-17 07:18:21.608928
M046,Surveillance,36.5477,32.4283,Low,3.45,9.56,5.73,Night Vision,42,2025-12-17 14:18:21.609028
M047,Reconnaissance,39.3222,30.6164,Medium,5.45,8.03,1.13,Thermal,104,2025-12-17 12:18:21.609140
M048,Search and Rescue,41.3262,32.9656,High,6.62,2.29,7.62,Multi-Spectral,160,2025-12-17 13:18:21.609241
M049,Surveillance,38.3799,42.1622,High,6.65,5.62,2.33,Multi-Spectral,86,2025-12-17 18:18:21.609457
M050,Disaster Assessment,41.4462,37.0621,High,6.85,7.37,4.82,Multi-Spectral,113,2025-12-17 09:18:21.609591
M051,Search and Rescue,38.6067,31.3126,High,6.91,6.14,7.41,Multi-Spectral,47,2025-12-17 10:18:21.609692
M052,Border Patrol,37.425,33.8038,Medium,4.98,1.75,5.28,Thermal,174,2025-12-17 07:18:21.609855
M053,Surveillance,36.259,42.1494,Low,3.03,9.94,0.74,Night Vision,134,2025-12-17 01:18:21.609974
M054,Border Patrol,37.767,43.9291,High,7.2,4.46,7.37,Night Vision,72,2025-12-17 03:18:21.610072
M055,Disaster Assessment,38.014,29.8846,Critical,10.15,4.49,2.29,Multi-Spectral,41,2025-12-17 10:18:21.610295
M056,Disaster Assessment,40.189,36.1136,Low,2.81,8.32,6.85,Thermal,49,2025-12-17 16:18:21.610520
M057,Surveillance,38.4998,36.8798,Low,3.42,1.74,8.77,Night Vision,36,2025-12-16 20:18:21.610797
M058,Border Patrol,38.8822,43.7499,Medium,4.88,7.75,3.93,Night Vision,156,2025-12-17 06:18:21.610924
M059,Border Patrol,38.4889,31.6479,High,6.56,8.78,8.13,Night Vision,142,2025-12-17 16:18:21.611136
M060,Surveillance,40.3567,39.8704,Medium,4.88,3.17,2.05,Thermal,173,2025-12-17 06:18:21.611462
M061,Disaster Assessment,40.0302,37.5082,High,6.86,2.02,6.72,HD Camera,101,2025-12-17 16:18:21.611667
M062,Reconnaissance,40.8983,43.4556,High,6.59,8.13,5.9,Night Vision,34,2025-12-17 04:18:21.611868
M063,Surveillance,40.2245,30.6204,Medium,4.64,1.13,3.51,HD Camera,125,2025-12-17 04:18:21.611988
M064,Reconnaissance,40.3584,36.3066,Critical,9.95,9.19,2.98,HD Camera,159,2025-12-17 14:18:21.612218
M065,Surveillance,41.5595,35.366,Critical,9.76,5.13,9.8,Thermal,82,2025-12-17 08:18:21.612425
M066,Reconnaissance,36.4552,29.191,High,6.63,2.37,1.39,Multi-Spectral,57,2025-12-17 15:18:21.612695
M067,Border Patrol,38.8438,38.3485,Low,2.67,2.73,0.41,Thermal,81,2025-12-17 09:18:21.612814
M068,Surveillance,39.2923,36.0852,Critical,9.86,9.05,1.29,HD Camera,133,2025-12-17 10:18:21.612916
M069,Search and Rescue,39.7674,28.3899,Medium,5.37,9.29,0.61,HD Camera,160,2025-12-17 11:18:21.613016
M070,Border Patrol,41.9175,36.122,Medium,5.42,3.13,7.6,HD Camera,99,2025-12-17 06:18:21.613115
M071,Search and Rescue,37.5146,39.1269,Critical,10.4,5.61,5.32,Thermal,160,2025-12-17 13:18:21.613211
M072,Reconnaissance,36.6292,39.5359,High,6.68,6.08,8.41,HD Camera,79,2025-12-17 07:18:21.613306
M073,Border Patrol,39.5616,38.5447,Low,3.29,5.49,0.87,Night Vision,140,2025-12-17 04:18:21.613410
M074,Border Patrol,38.2726,32.7366,Medium,5.4,6.47,2.44,Night Vision,177,2025-12-17 14:18:21.613503
M075,Border Patrol,36.6107,29.5986,High,6.75,2.45,1.87,HD Camera,150,2025-12-16 19:18:21.613595
M076,Border Patrol,39.1471,33.9767,Critical,10.48,2.01,3.98,Multi-Spectral,167,2025-12-17 04:18:21.613688
M077,Border Patrol,40.3374,40.9546,High,7.22,5.82,4.77,Thermal,145,2025-12-17 13:18:21.613781
M078,Search and Rescue,38.5526,35.6294,High,6.74,2.03,6.11,Multi-Spectral,43,2025-12-17 08:18:21.613898
M079,Disaster Assessment,39.5633,33.2769,High,6.95,5.94,5.49,HD Camera,78,2025-12-17 17:18:21.613996
M080,Disaster Assessment,40.089,39.9239,High,7.1,5.24,4.12,HD Camera,46,2025-12-17 14:18:21.614091
M081,Disaster Assessment,36.7458,39.4247,Low,3.44,2.63,0.66,Multi-Spectral,138,2025-12-17 11:18:21.614183
M082,Reconnaissance,37.2098,29.7822,Medium,4.66,8.33,6.65,HD Camera,166,2025-12-17 06:18:21.614276
M083,Search and Rescue,40.8996,34.4653,High,6.88,5.16,3.01,Night Vision,95,2025-12-17 18:18:21.614368
M084,Border Patrol,38.3489,36.0416,High,6.57,3.06,5.43,HD Camera,170,2025-12-17 12:18:21.614461
M085,Reconnaissance,36.8356,40.4984,High,7.12,5.8,8.94,Multi-Spectral,179,2025-12-17 18:18:21.614556
M086,Surveillance,40.4637,27.5701,High,7.07,7.86,8.77,Thermal,45,2025-12-17 06:18:21.614649
M087,Disaster Assessment,39.6237,35.5389,High,7.04,5.38,4.09,Thermal,138,2025-12-17 00:18:21.614742
M088,Reconnaissance,40.2971,37.1835,Medium,5.33,9.63,3.43,HD Camera,90,2025-12-17 04:18:21.614834
M089,Search and Rescue,36.9201,36.9659,Low,3.01,6.5,0.18,Multi-Spectral,118,2025-12-17 07:18:21.614926
M090,Disaster Assessment,40.7405,27.3914,Low,3.15,7.94,3.74,Thermal,93,2025-12-17 05:18:21.615026
M091,Border Patrol,38.705,28.925,Low,3.48,8.55,1.25,Thermal,79,2025-12-16 21:18:21.615127
M092,Reconnaissance,38.394,27.9309,Medium,4.84,8.23,0.05,Thermal,47,2025-12-16 23:18:21.615221
M093,Border Patrol,41.5378,34.9169,Low,2.98,9.27,5.87,Night Vision,97,2025-12-17 00:18:21.615313
M094,Border Patrol,38.5136,42.5524,High,6.86,6.23,6.32,Multi-Spectral,61,2025-12-17 02:18:21.615406
M095,Border Patrol,36.892,34.0486,Low,2.59,9.97,5.02,Thermal,76,2025-12-16 20:18:21.615498
M096,Reconnaissance,41.3883,30.4874,High,6.69,1.33,4.72,Multi-Spectral,118,2025-12-17 18:18:21.615589
M097,Reconnaissance,39.1463,34.493,High,6.9,6.04,1.55,Thermal,80,2025-12-16 20:18:21.615683
M098,Reconnaissance,37.6245,37.948,High,6.91,1.23,1.56,HD Camera,160,2025-12-17 11:18:21.616021
M099,Border Patrol,37.5233,30.3339,Medium,5.01,6.36,3.39,Thermal,56,2025-12-17 18:18:21.616377
M100,Disaster Assessment,36.5966,31.1339,High,7.22,8.7,8.3,Multi-Spectral,171,2025-12-16 21:18:21.616606
M101,Surveillance,37.9439,28.4777,High,7.13,7.62,8.48,Multi-Spectral,57,2025-12-17 15:18:21.616790
M102,Surveillance,41.356,40.8965,High,6.84,3.33,3.8,Night Vision,35,2025-12-16 23:18:21.617005
M103,Surveillance,40.643,33.1669,High,7.36,2.98,9.75,Multi-Spectral,51,2025-12-17 09:18:21.617199
M104,Reconnaissance,40.7991,34.2286,Low,2.52,3.42,5.42,Thermal,90,2025-12-17 10:18:21.617373
M105,Reconnaissance,36.7937,42.3097,High,7.19,7.15,8.23,Multi-Spectral,47,2025-12-17 15:18:21.617613
M106,Border Patrol,39.3251,38.0741,High,7.33,2.86,0.11,Thermal,69,2025-12-17 13:18:21.617744
M107,Reconnaissance,39.6031,38.3056,Medium,4.68,9.23,4.19,Multi-Spectral,145,2025-12-17 05:18:21.617867
M108,Search and Rescue,40.4282,28.4076,Critical,10.1,3.21,3.89,Multi-Spectral,95,2025-12-17 15:18:21.618006
M109,Border Patrol,39.6624,43.1382,Medium,4.9,9.59,1.35,Multi-Spectral,62,2025-12-17 15:18:21.618137
M110,Disaster Assessment,41.0492,41.3889,Critical,10.46,2.39,6.23,HD Camera,45,2025-12-17 10:18:21.618241
M111,Border Patrol,40.2296,37.1709,High,6.96,1.68,0.78,Multi-Spectral,134,2025-12-17 13:18:21.618351
M112,Search and Rescue,37.8876,40.7263,Critical,10.46,8.11,6.91,Thermal,57,2025-12-17 03:18:21.618484
M113,Reconnaissance,40.8394,38.1993,Medium,5.19,8.64,2.5,Thermal,126,2025-12-17 10:18:21.618585
M114,Surveillance,36.265,37.0005,Medium,5.5,6.0,4.73,Night Vision,35,2025-12-16 22:18:21.618725
M115,Border Patrol,36.6917,34.17,Critical,10.3,7.71,0.55,Night Vision,77,2025-12-17 09:18:21.618833
M116,Border Patrol,38.1882,36.5315,Medium,4.98,8.96,5.3,HD Camera,138,2025-12-17 07:18:21.618929
M117,Border Patrol,39.9699,39.5435,Medium,5.02,4.84,8.77,HD Camera,33,2025-12-17 09:18:21.619025
M118,Search and Rescue,41.2482,35.9919,Critical,10.44,8.19,9.98,Multi-Spectral,37,2025-12-17 02:18:21.619141
M119,Surveillance,38.8787,36.8729,Critical,9.77,4.58,0.92,Night Vision,93,2025-12-17 14:18:21.619237
M120,Border Patrol,36.6628,33.0286,High,6.79,3.67,2.34,Thermal,71,2025-12-16 22:18:21.619362
M121,Border Patrol,38.3498,29.1154,Critical,10.46,8.18,2.59,Multi-Spectral,92,2025-12-16 19:18:21.619474
M122,Reconnaissance,41.9351,39.637,Low,2.56,4.61,8.38,HD Camera,121,2025-12-17 06:18:21.619572
M123,Search and Rescue,38.3045,27.6244,Critical,10.46,8.44,8.01,HD Camera,175,2025-12-17 02:18:21.619667
M124,Border Patrol,41.9694,29.9562,Low,2.9,7.82,6.96,Multi-Spectral,164,2025-12-17 16:18:21.619771
M125,Surveillance,39.2218,37.08,High,7.08,1.82,8.77,Night Vision,70,2025-12-17 10:18:21.619865
M126,Reconnaissance,41.1728,40.7618,Low,3.16,5.96,0.87,Multi-Spectral,67,2025-12-17 13:18:21.619959
M127,Reconnaissance,38.9753,28.3778,Medium,4.72,7.15,0.76,Thermal,39,2025-12-17 06:18:21.620053
M128,Surveillance,39.4279,38.2559,Low,3.04,8.78,7.34,Multi-Spectral,149,2025-12-17 11:18:21.620165
M129,Disaster Assessment,41.2038,39.0422,Low,3.34,7.28,6.8,Night Vision,134,2025-12-17 12:18:21.620259
M130,Surveillance,41.2311,27.4972,Low,3.33,2.16,3.35,HD Camera,166,2025-12-17 01:18:21.620454
M131,Disaster Assessment,40.5398,31.3977,Medium,4.69,1.76,3.26,Thermal,124,2025-12-17 17:18:21.620647
M132,Disaster Assessment,40.9121,29.1836,Critical,9.78,1.17,4.32,HD Camera,81,2025-12-17 04:18:21.620747
M133,Surveillance,41.6234,38.6941,Critical,9.57,3.71,7.08,HD Camera,136,2025-12-16 21:18:21.620842
M134,Border Patrol,36.4482,41.491,Critical,10.49,7.08,4.46,Night Vision,49,2025-12-17 07:18:21.621190
M135,Surveillance,37.9417,35.3069,Critical,10.27,7.15,4.46,HD Camera,100,2025-12-17 15:18:21.621342
M136,Border Patrol,41.1253,35.9594,Critical,10.33,3.69,8.4,Night Vision,132,2025-12-16 21:18:21.621445
M137,Reconnaissance,41.7052,29.568,High,6.93,9.49,4.2,Night Vision,174,2025-12-17 00:18:21.621551
M138,Border Patrol,37.8717,32.4526,High,7.22,7.71,2.0,Thermal,127,2025-12-17 07:18:21.621745
M139,Search and Rescue,38.8393,43.4593,Low,2.69,8.82,7.77,Night Vision,98,2025-12-17 01:18:21.622265
M140,Disaster Assessment,40.7808,32.0009,Critical,10.41,9.71,1.85,Night Vision,102,2025-12-17 05:18:21.622529
M141,Border Patrol,37.4852,36.493,Medium,4.73,2.45,6.52,Thermal,70,2025-12-16 19:18:21.622878
M142,Reconnaissance,36.8975,34.8982,Low,3.18,4.56,9.75,HD Camera,73,2025-12-17 06:18:21.623293
M143,Border Patrol,40.6791,27.6735,Low,2.98,1.94,2.42,Thermal,115,2025-12-17 04:18:21.623689
M144,Disaster Assessment,39.3579,27.1661,Medium,4.83,5.66,0.88,Thermal,42,2025-12-17 06:18:21.624096
M145,Disaster Assessment,37.9326,43.6169,High,6.7,7.24,8.21,HD Camera,55,2025-12-17 02:18:21.624309
M146,Reconnaissance,41.3773,37.1112,Critical,10.12,6.52,2.99,Multi-Spectral,160,2025-12-17 01:18:21.624504
M147,Disaster Assessment,38.0367,40.852,Low,2.58,9.05,5.48,HD Camera,147,2025-12-17 16:18:21.624781
M148,Border Patrol,38.6316,39.3221,Critical,10.09,6.85,4.79,Night Vision,62,2025-12-16 20:18:21.624987
M149,Disaster Assessment,41.231,34.3721,Medium,4.54,2.46,0.21,Night Vision,64,2025-12-16 19:18:21.625150
M150,Border Patrol,36.4892,33.8554,High,6.72,4.77,2.04,Night Vision,99,2025-12-16 22:18:21.625324
M151,Search and Rescue,38.553,32.8809,Medium,4.87,9.89,0.4,Thermal,107,2025-12-17 10:18:21.625459
M152,Disaster Assessment,38.3731,37.3052,Critical,10.1,8.14,6.55,Night Vision,118,2025-12-16 21:18:21.625569
M153,Surveillance,39.7378,37.7365,High,7.23,2.18,7.16,Multi-Spectral,120,2025-12-17 09:18:21.625674
M154,Disaster Assessment,39.0757,34.0215,High,6.57,4.93,0.97,Thermal,96,2025-12-16 19:18:21.625779
M155,Border Patrol,36.5716,38.0861,Medium,4.81,4.59,8.58,Thermal,78,2025-12-17 11:18:21.625899
M156,Disaster Assessment,41.8189,34.7144,Critical,9.74,1.66,1.7,HD Camera,97,2025-12-17 07:18:21.626076
M157,Border Patrol,37.4923,37.4915,High,7.21,2.5,1.68,Thermal,120,2025-12-17 04:18:21.626258
M158,Surveillance,40.6907,38.9916,Medium,4.95,8.78,5.58,Night Vision,46,2025-12-17 01:18:21.626399
M159,Search and Rescue,37.3868,27.8788,Critical,10.14,3.02,1.8,Night Vision,77,2025-12-17 02:18:21.626503
M160,Reconnaissance,36.8901,43.7727,Critical,10.47,1.04,9.52,HD Camera,175,2025-12-17 12:18:21.626601
M161,Reconnaissance,40.0012,29.3741,High,6.53,3.77,7.05,HD Camera,139,2025-12-17 11:18:21.626709
M162,Search and Rescue,40.385,29.6548,Critical,9.73,9.67,2.55,Thermal,155,2025-12-17 08:18:21.626806
M163,Search and Rescue,37.4649,41.1249,Critical,10.36,7.92,1.13,Thermal,133,2025-12-17 18:18:21.626898
M164,Border Patrol,39.9533,33.6957,High,7.15,1.96,6.58,HD Camera,120,2025-12-17 10:18:21.626992
M165,Border Patrol,41.2245,40.3006,High,7.07,7.65,8.79,Thermal,144,2025-12-17 15:18:21.627085
M166,Reconnaissance,40.5737,40.5628,Low,2.94,8.36,1.2,HD Camera,127,2025-12-16 22:18:21.627343
M167,Border Patrol,38.377,38.8229,High,6.89,5.04,2.38,Thermal,96,2025-12-17 13:18:21.627485
M168,Search and Rescue,37.0107,37.9238,Medium,5.26,5.5,5.42,Multi-Spectral,107,2025-12-17 13:18:21.627587
M169,Disaster Assessment,38.0475,33.4633,Critical,9.9,6.22,5.34,Night Vision,89,2025-12-16 20:18:21.627685
M170,Search and Rescue,39.1274,40.9807,Medium,4.93,9.07,0.71,Night Vision,66,2025-12-17 08:18:21.627822
M171,Reconnaissance,41.6066,32.9776,Critical,9.6,5.37,2.57,Multi-Spectral,130,2025-12-17 04:18:21.628033
M172,Disaster Assessment,37.8678,37.3757,Medium,5.22,3.45,4.14,Thermal,108,2025-12-17 12:18:21.628212
M173,Disaster Assessment,39.151,39.0538,Critical,9.61,6.11,2.57,Multi-Spectral,93,2025-12-16 21:18:21.628521
M174,Border Patrol,39.159,28.9092,High,6.5,6.74,5.15,Multi-Spectral,64,2025-12-17 10:18:21.628779
M175,Search and Rescue,38.1646,42.4001,Critical,10.27,6.01,2.56,Multi-Spectral,71,2025-12-17 00:18:21.629127
M176,Disaster Assessment,40.0053,28.6241,High,7.12,5.07,5.87,Night Vision,65,2025-12-17 07:18:21.629309
M177,Search and Rescue,39.2121,30.0336,High,6.81,3.07,2.06,Night Vision,64,2025-12-17 05:18:21.629516
M178,Surveillance,38.9806,43.7924,Medium,4.64,7.26,4.04,HD Camera,96,2025-12-17 10:18:21.629738
M179,Border Patrol,38.0465,40.918,Critical,10.1,4.04,9.06,Thermal,41,2025-12-17 11:18:21.629911
M180,Surveillance,37.1512,32.4973,Low,2.73,4.19,0.69,Thermal,154,2025-12-17 14:18:21.630028
M181,Disaster Assessment,39.2401,41.9613,High,7.15,5.8,3.24,Night Vision,58,2025-12-17 17:18:21.630140
M182,Disaster Assessment,39.3467,39.4211,Medium,4.97,1.54,5.62,Multi-Spectral,174,2025-12-17 04:18:21.630240
M183,Border Patrol,38.4569,34.1857,Critical,10.32,1.01,3.01,Multi-Spectral,149,2025-12-17 03:18:21.630339
M184,Surveillance,41.845,27.3404,Critical,10.24,7.92,2.44,HD Camera,108,2025-12-17 13:18:21.630466
M185,Search and Rescue,41.1881,37.3443,Medium,5.01,2.43,0.63,Multi-Spectral,75,2025-12-17 01:18:21.630713
M186,Surveillance,36.5259,42.9283,High,7.05,3.75,3.97,Night Vision,171,2025-12-17 01:18:21.630869
M187,Reconnaissance,39.4475,36.6318,Medium,4.89,5.51,3.97,HD Camera,152,2025-12-17 16:18:21.630970
M188,Search and Rescue,40.8356,40.4305,Low,2.8,1.73,4.03,HD Camera,53,2025-12-17 16:18:21.631069
M189,Search and Rescue,39.4382,42.8564,Low,3.08,5.31,3.14,Night Vision,103,2025-12-17 05:18:21.631167
M190,Surveillance,41.7168,41.0284,High,7.17,2.1,4.78,Multi-Spectral,50,2025-12-17 15:18:21.631262
M191,Surveillance,41.7949,34.3525,Medium,4.81,5.56,4.4,Multi-Spectral,157,2025-12-17 08:18:21.631369
M192,Search and Rescue,36.9121,28.0429,Medium,5.28,5.14,0.58,Night Vision,143,2025-12-16 19:18:21.631471
M193,Border Patrol,37.024,28.2687,High,7.28,3.39,1.78,Multi-Spectral,39,2025-12-17 15:18:21.631566
M194,Disaster Assessment,40.8838,37.4587,Low,2.81,6.62,5.27,Night Vision,138,2025-12-17 14:18:21.631660
M195,Disaster Assessment,39.9245,33.022,High,7.03,5.33,1.77,Thermal,145,2025-12-16 20:18:21.631754
M196,Search and Rescue,38.5115,40.4357,Critical,10.08,7.13,1.9,Thermal,62,2025-12-16 22:18:21.631849
M197,Search and Rescue,41.8552,40.6261,High,7.46,5.39,1.1,Multi-Spectral,126,2025-12-16 22:18:21.631950
M198,Disaster Assessment,36.8954,29.1624,High,7.36,3.19,6.52,Night Vision,86,2025-12-16 23:18:21.632045
M199,Surveillance,40.7101,42.1654,High,7.46,8.08,3.15,Thermal,151,2025-12-17 03:18:21.632140
M200,Surveillance,41.5819,31.302,High,7.28,8.43,4.95,Multi-Spectral,164,2025-12-17 11:18:21.632234
M201,Border Patrol,36.3999,35.8129,Medium,4.65,7.64,5.12,Thermal,37,2025-12-17 11:18:21.632341
M202,Border Patrol,39.9542,40.6362,Medium,4.61,1.32,5.09,Multi-Spectral,82,2025-12-17 05:18:21.632440
M203,Disaster Assessment,40.6479,38.2433,High,6.69,2.57,0.98,HD Camera,154,2025-12-17 11:18:21.632533
M204,Search and Rescue,36.493,43.4536,Critical,9.8,7.92,6.25,HD Camera,130,2025-12-17 16:18:21.632643
M205,Border Patrol,37.5643,28.1773,High,7.46,5.3,8.96,HD Camera,149,2025-12-17 07:18:21.632743
M206,Reconnaissance,39.6113,36.9012,Low,3.25,8.31,6.56,Night Vision,36,2025-12-17 02:18:21.632837
M207,Search and Rescue,38.233,34.3453,High,6.94,6.52,9.43,HD Camera,169,2025-12-17 07:18:21.632930
M208,Reconnaissance,39.8749,31.8604,Low,3.32,8.75,8.47,Thermal,111,2025-12-16 22:18:21.633023
M209,Surveillance,41.8704,39.7193,High,7.06,2.63,0.54,Multi-Spectral,111,2025-12-17 08:18:21.633124
M210,Border Patrol,36.259,29.8019,Low,2.63,7.53,8.18,Night Vision,103,2025-12-16 20:18:21.633218
M211,Disaster Assessment,39.2534,37.0359,Medium,5.01,3.68,5.65,Thermal,44,2025-12-17 07:18:21.633320
M212,Border Patrol,36.9604,34.8465,Medium,4.51,3.22,7.26,Thermal,71,2025-12-17 16:18:21.633413
M213,Search and Rescue,37.8656,39.6199,Medium,5.32,6.53,6.88,Multi-Spectral,147,2025-12-16 23:18:21.633506
M214,Disaster Assessment,40.5659,27.6003,Critical,10.25,2.82,9.58,Thermal,131,2025-12-17 03:18:21.633599
M215,Reconnaissance,38.8219,35.5349,Low,2.62,4.47,6.43,HD Camera,162,2025-12-17 16:18:21.633692
M216,Search and Rescue,38.4757,38.8255,High,6.5,6.58,3.55,Thermal,88,2025-12-17 02:18:21.633785
M217,Disaster Assessment,40.3404,28.7703,Medium,4.73,7.33,0.53,Multi-Spectral,131,2025-12-17 01:18:21.634009
M218,Reconnaissance,40.9503,35.4703,High,6.58,1.53,3.34,HD Camera,177,2025-12-16 22:18:21.634233
M219,Disaster Assessment,38.6412,29.5067,Medium,4.83,4.91,0.89,Multi-Spectral,39,2025-12-17 04:18:21.634369
M220,Reconnaissance,37.7967,29.9492,Medium,5.14,5.47,1.78,Night Vision,91,2025-12-17 05:18:21.634492
M221,Disaster Assessment,39.4312,36.9921,High,6.68,4.26,3.35,Thermal,135,2025-12-16 21:18:21.634633
M222,Surveillance,41.5777,40.3039,Medium,4.56,8.67,2.26,Thermal,156,2025-12-17 14:18:21.634759
M223,Disaster Assessment,38.7491,35.2105,Low,2.63,1.73,7.28,HD Camera,166,2025-12-16 19:18:21.634932
M224,Border Patrol,36.3437,30.8288,Critical,9.63,4.59,9.23,Thermal,173,2025-12-16 19:18:21.635098
M225,Disaster Assessment,36.2177,31.6872,Critical,9.78,8.08,9.75,Multi-Spectral,143,2025-12-17 09:18:21.635196
M226,Border Patrol,36.3922,35.2887,Medium,4.53,1.56,9.06,Thermal,81,2025-12-17 01:18:21.635299
M227,Border Patrol,36.5185,31.0253,Medium,5.23,5.93,1.28,Multi-Spectral,170,2025-12-17 09:18:21.635625
M228,Search and Rescue,37.5609,39.424,High,7.48,3.31,6.54,HD Camera,58,2025-12-17 02:18:21.635753
M229,Reconnaissance,41.6822,43.4451,High,6.68,1.2,7.2,Night Vision,67,2025-12-17 12:18:21.635851
M230,Border Patrol,36.6886,41.6224,Medium,5.22,1.61,7.08,Thermal,121,2025-12-17 05:18:21.635947
